2016-10-20 20:17:40 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:40 status half-installed base-files:amd64 8+deb8u6
2016-10-20 20:17:40 status half-installed base-files:amd64 8+deb8u6
2016-10-20 20:17:40 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:40 status unpacked base-files:amd64 8+deb8u6
2016-10-20 20:17:40 upgrade base-passwd:amd64 3.5.37 3.5.37
2016-10-20 20:17:40 status half-configured base-passwd:amd64 3.5.37
2016-10-20 20:17:40 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:40 status half-installed base-passwd:amd64 3.5.37
2016-10-20 20:17:40 status half-installed base-passwd:amd64 3.5.37
2016-10-20 20:17:40 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:40 status unpacked base-passwd:amd64 3.5.37
2016-10-20 20:17:40 install bash:amd64 <none> 4.3-11+b1
2016-10-20 20:17:40 status half-installed bash:amd64 4.3-11+b1
2016-10-20 20:17:41 status unpacked bash:amd64 4.3-11+b1
2016-10-20 20:17:41 status unpacked bash:amd64 4.3-11+b1
2016-10-20 20:17:41 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2016-10-20 20:17:41 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2016-10-20 20:17:41 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-10-20 20:17:41 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-10-20 20:17:41 install libdebconfclient0:amd64 <none> 0.192
2016-10-20 20:17:41 status half-installed libdebconfclient0:amd64 0.192
2016-10-20 20:17:41 status unpacked libdebconfclient0:amd64 0.192
2016-10-20 20:17:41 status unpacked libdebconfclient0:amd64 0.192
2016-10-20 20:17:41 install coreutils:amd64 <none> 8.23-4
2016-10-20 20:17:41 status half-installed coreutils:amd64 8.23-4
2016-10-20 20:17:42 status unpacked coreutils:amd64 8.23-4
2016-10-20 20:17:42 status unpacked coreutils:amd64 8.23-4
2016-10-20 20:17:42 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2016-10-20 20:17:42 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2016-10-20 20:17:42 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-10-20 20:17:42 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-10-20 20:17:42 install dash:amd64 <none> 0.5.7-4+b1
2016-10-20 20:17:42 status half-installed dash:amd64 0.5.7-4+b1
2016-10-20 20:17:43 status unpacked dash:amd64 0.5.7-4+b1
2016-10-20 20:17:43 status unpacked dash:amd64 0.5.7-4+b1
2016-10-20 20:17:43 install libdb5.3:amd64 <none> 5.3.28-9
2016-10-20 20:17:43 status half-installed libdb5.3:amd64 5.3.28-9
2016-10-20 20:17:43 status unpacked libdb5.3:amd64 5.3.28-9
2016-10-20 20:17:43 status unpacked libdb5.3:amd64 5.3.28-9
2016-10-20 20:17:43 install debconf:all <none> 1.5.56
2016-10-20 20:17:43 status half-installed debconf:all 1.5.56
2016-10-20 20:17:43 status unpacked debconf:all 1.5.56
2016-10-20 20:17:43 status unpacked debconf:all 1.5.56
